[2025-04-29 14:07:08] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7254 (Threshold: 100)
[2025-04-29 14:07:13] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5459 (Threshold: 100)
[2025-04-29 14:07:19] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6996 (Threshold: 100)
[2025-04-29 14:07:25] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7273 (Threshold: 100)
[2025-04-29 14:07:31] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7543 (Threshold: 100)
[2025-04-29 14:07:37] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7381 (Threshold: 100)
[2025-04-29 14:07:43] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6377 (Threshold: 100)
[2025-04-29 14:07:49] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6098 (Threshold: 100)
[2025-04-29 14:07:55] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5816 (Threshold: 100)
[2025-04-29 14:14:27] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9281 (Threshold: 100)
[2025-04-29 14:14:33] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10812 (Threshold: 100)
[2025-04-29 14:14:39] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9779 (Threshold: 100)
[2025-04-29 14:14:45] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9435 (Threshold: 100)
[2025-04-29 14:14:50] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 11373 (Threshold: 100)
[2025-04-29 14:14:57] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7409 (Threshold: 100)
[2025-04-29 14:15:02] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7517 (Threshold: 100)
[2025-04-29 14:15:08] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7311 (Threshold: 100)
[2025-04-29 14:15:14] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7433 (Threshold: 100)
[2025-04-29 14:15:20] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8176 (Threshold: 100)
[2025-04-29 14:15:26] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6893 (Threshold: 100)
[2025-04-29 14:15:32] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6842 (Threshold: 100)
[2025-04-29 14:15:37] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7703 (Threshold: 100)
[2025-04-29 14:15:44] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7801 (Threshold: 100)
[2025-04-29 14:15:50] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8085 (Threshold: 100)
[2025-04-29 14:15:55] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8250 (Threshold: 100)
[2025-04-29 14:16:02] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 11374 (Threshold: 100)
[2025-04-29 14:16:07] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8997 (Threshold: 100)
[2025-04-29 14:19:10] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7349 (Threshold: 100)
[2025-04-29 14:19:16] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8528 (Threshold: 100)
[2025-04-29 14:19:22] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9349 (Threshold: 100)
[2025-04-29 14:19:28] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10621 (Threshold: 100)
[2025-04-29 14:19:34] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9782 (Threshold: 100)
[2025-04-29 14:19:40] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9987 (Threshold: 100)
[2025-04-29 14:19:45] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10068 (Threshold: 100)
[2025-04-29 14:19:51] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7916 (Threshold: 100)
[2025-04-29 14:19:57] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6887 (Threshold: 100)
[2025-04-29 14:20:03] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7229 (Threshold: 100)
[2025-04-29 14:20:09] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7852 (Threshold: 100)
[2025-04-29 14:20:15] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7877 (Threshold: 100)
[2025-04-29 14:20:21] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5735 (Threshold: 100)
